gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
1110059E24Rik	1272.128	-0.6045706	0.05829043	9.436683e-26	6.157704e-25
1110059G10Rik	592.4957	0.0276424	0.0715007	0.693825	0.782835
1110065P20Rik	289.2934	-0.209511	0.10534864	0.03867407	0.06883318
1190005I06Rik	14.79375	0.4363561	0.36001673	0.0856037	0.1415031
1190028D05Rik	0.4869952	-0.2698687	0.98155005	0.3699838	NA
1300002E11Rik	312.7376	0.7262936	0.10043901	6.465284e-14	2.71692e-13
1500002C15Rik	6.098582	-1.159223	0.78848323	0.007949396	0.01587265
1500002F19Rik	3.61983	0.2385324	0.51506781	0.3853089	0.5068226
1500004A13Rik	8.297622	0.599814	0.50446973	0.04878372	0.08513132
1500009L16Rik	89.85053	0.1575538	0.17905326	0.3294911	0.4481635
1500011B03Rik	246.371	-0.3141028	0.09957809	0.001101268	0.002447975
1500012K07Rik	0.2467098	0.1096545	0.98586506	0.6799513	NA
1500015A07Rik	102.0362	0.1497478	0.16251818	0.315439	0.4324692
1500015L24Rik	21.89096	0.1992092	0.28001386	0.3655335	0.48595
1500026H17Rik	9.889385	0.1633967	0.37218967	0.509627	0.6256524
1600002D24Rik	1.763881	0.3037649	0.70368678	0.3152675	0.4322957
1600012H06Rik	1184.432	-0.01183494	0.05424202	0.8254663	0.8791632
1600014C10Rik	394.3144	1.602991	0.09572566	6.140386e-64	8.965658e-63
1600014C23Rik	28.98978	-4.69712	0.62033976	2.298388e-15	1.035177e-14
1600020E01Rik	37.58458	0.1169939	0.26233723	0.5808179	0.691037
1600023N17Rik	8.091246	-0.1232675	0.37628242	0.6183601	0.7222545
1600029I14Rik	0.2500063	-0.1107174	0.97429813	0.6794371	NA
1600029O15Rik	0.2517783	-0.1119596	0.97397069	0.6763256	NA
1700001G01Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1700001G11Rik	1.115082	-0.0517845	0.65174805	0.8497428	0.8950456
1700001G17Rik	9.626189	0.1780243	0.3644567	0.4702786	0.5884719
1700001J03Rik	3.562005	0.08851028	0.49839643	0.7359584	0.8159049
1700001J04Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700001J11Rik	0.5165329	-0.2385333	1.00624776	0.4122178	0.5333824
1700001K19Rik	0.4698927	0.04891618	0.84147292	0.8589401	NA
1700001K23Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700001L05Rik	223.77	-1.513094	0.11943469	6.166089e-38	5.492022e-37
1700001O22Rik	249.4895	-1.996773	0.1298192	2.9055e-54	3.594185e-53
1700003D09Rik	1.006662	0.5050137	0.99707615	0.1569677	0.241595
1700003E16Rik	8.136593	0.03035064	0.38751344	0.9024547	0.9333774
1700003E24Rik	0.2486482	0.001601358	0.94959849	0.995143	NA
1700003F12Rik	9.11547	0.3741883	0.43465692	0.1680537	0.2558972
1700003G18Rik	0.2442745	0.002755299	0.95198448	0.9916311	NA
1700003H04Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1700006J14Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700007E05Rik	0.1278316	0.05548383	0.9673458	0.8325408	NA
1700007J10Rik	0.3775902	0.1995736	0.96716141	0.4851946	NA
1700007L15Rik	32.07793	0.8514812	0.35332063	0.001250938	0.002767559
1700008J07Rik	74.75317	0.8706472	0.20097797	8.542287e-07	2.458036e-06
1700008O03Rik	2.448071	0.53458	0.80606211	0.1256633	0.1991896
1700009C05Rik	0.2569641	0.002049562	0.9451979	0.9937998	NA
1700009N14Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1700010G06Rik	2.995299	-0.123217	0.51850566	0.6436084	0.7424674
1700010I14Rik	1.149286	-0.729922	1.26363112	0.07933875	0.1320777
1700010K23Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700011C11Rik	1.635482	-0.04934365	0.60418871	0.855107	0.8986785
1700011L22Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1700012B09Rik	0.4971119	-0.1300598	0.89710697	0.6418598	NA
1700012D01Rik	15.63807	0.07911544	0.31156755	0.7319397	0.812659
1700012H19Rik	0.3760854	0.0668469	0.90872057	0.805452	NA
1700012I11Rik	0.1291332	-0.05161082	0.96646521	0.8439807	NA
1700013H16Rik	0.2480937	-0.004533814	0.94993581	0.9862473	NA
1700015I17Rik	0.3858701	0.204185	0.96763937	0.4766456	NA
1700016A09Rik	1.479319	-0.08303191	0.6377622	0.7618108	0.8369703
1700016G22Rik	1.504931	-0.4833966	0.93962438	0.167116	0.2547082
1700016H13Rik	0.5762785	-0.1899375	0.86725118	0.5130046	0.6287991
1700016J18Rik	0.3369154	-0.1159886	0.93706692	0.6719214	NA
1700017B05Rik	1813.703	-0.06505002	0.04565511	0.1510349	0.234192
1700017L05Rik	0.1243433	0.05548383	0.9673458	0.8325408	NA
1700017M07Rik	2.004222	0.4239682	0.75897123	0.1934064	0.2890804
1700017N19Rik	0.2517058	0.002037345	0.94796581	0.9938267	NA
1700018A04Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1700018B08Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700018L02Rik	13.31439	1.087297	0.54535895	0.002336353	0.004997366
1700019D03Rik	26.48367	-1.637528	0.38609205	7.996124e-07	2.306342e-06
1700019E08Rik	0.2417178	-0.1054349	0.9840305	0.6912443	NA
1700019M22Rik	0.3783905	0.06900343	0.90866164	0.7994437	NA
1700020G03Rik	2.011065	0.8878889	1.14094022	0.04731766	0.08278285
1700020L13Rik	0.8856314	0.1828515	0.83058946	0.5281078	0.6428462
1700020L24Rik	24.15301	0.7302494	0.32016996	0.002857287	0.006055383
1700020N01Rik	0.2467098	0.1096545	0.98586506	0.6799513	NA
1700020N18Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1700022A21Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1700022H01Rik	0.1291332	-0.05161082	0.96646521	0.8439807	NA
1700022N22Rik	5.56089	-0.007025764	0.42235945	0.9777867	0.9905002
1700023A20Rik	0.2417178	-0.1054349	0.9840305	0.6912443	NA
1700023D09Rik	3.444415	0.07131624	0.48357703	0.7840928	0.8537725
1700024B05Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1700024G13Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1700024J04Rik	0.4941454	0.1522022	0.86496769	0.5927651	NA
1700025G04Rik	1602.916	-1.328002	0.05487735	7.8645e-131	2.597927e-129
1700025H01Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1700025N21Rik	0.3819688	0.0728069	0.86691927	0.7914827	NA
1700025N23Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700026J14Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700027F09Rik	0.7716441	0.4596489	1.08529017	0.1836111	0.27632
1700027H10Rik	0.1291332	-0.05161082	0.96646521	0.8439807	NA
1700028D13Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700028E10Rik	2.695064	0.02082765	0.55542246	0.9375434	0.9614803
1700028I16Rik	0.6121816	-0.1865677	0.90411076	0.5175273	0.6329898
1700028J19Rik	7.453597	-0.1048862	0.39625365	0.6752975	0.7676315
1700028K03Rik	0.619999	-0.06417175	0.81364886	0.8168705	0.8745288
1700028M03Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700028P15Rik	0.1243433	0.05548383	0.9673458	0.8325408	NA
1700029F12Rik	0.1278316	0.05548383	0.9673458	0.8325408	NA
1700029H14Rik	0.2452003	0.001942069	0.95147005	0.994103	NA
1700029J03Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700029M20Rik	0.7599067	0.1356743	0.80875247	0.6324791	0.7339104
1700030C10Rik	235.3219	0.7113051	0.11436896	7.36466e-11	2.685935e-10
1700030C12Rik	0.780577	0.2583386	0.88517667	0.3928583	0.5144584
1700030J22Rik	44.04933	1.464125	0.28772443	1.184489e-08	3.819893e-08
1700030K09Rik	257.6918	0.4225348	0.10624792	3.684669e-05	9.349107e-05
1700030L22Rik	0.6714554	0.2308992	0.88000966	0.437266	0.5587109
1700030M09Rik	0.2556633	0.1120471	0.98678848	0.6736284	NA
1700034G24Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700034H15Rik	12.34376	0.08901173	0.3396962	0.7094726	0.7944338
1700034P13Rik	5.644518	0.2370786	0.44580386	0.3702666	0.4909148
1700036G14Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700037C18Rik	68.43663	0.2804038	0.19389315	0.1030582	0.1670518
1700039I01Rik	0.5133756	-0.02213377	0.8676592	0.9352939	0.9596024
1700041G16Rik	7.760643	0.2757605	0.41644823	0.2919403	0.4069595
1700041M19Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1700042G15Rik	0.3790383	0.06926709	0.90869909	0.7987074	NA
1700044C05Rik	0.1208589	-0.05161082	0.96646521	0.8439807	NA
1700047A11Rik	0.1243433	0.05548383	0.9673458	0.8325408	NA
1700047F07Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700047G03Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1700048O20Rik	0.249924	0.002014446	0.94891659	0.9938927	NA
1700049E17Rik1	0.3679184	-0.1608827	0.99696364	0.5565718	NA
1700049J03Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1700049L16Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700051A21Rik	0.2521932	-0.1122738	0.97390943	0.6755365	NA
1700051K13Rik	0.5139287	0.00172368	0.86592649	0.9949526	0.9972196
1700052H01Rik	0.3871843	0.1731088	0.99777337	0.5308128	NA
1700052I22Rik	0.1278316	0.05548383	0.9673458	0.8325408	NA
1700052K11Rik	43.13484	0.8665467	0.25453886	4.258159e-05	0.0001074611
1700054A03Rik	0.5068351	0.285352	0.98893279	0.348403	NA
1700055D16Rik	0.1278316	0.05548383	0.9673458	0.8325408	NA
1700055D18Rik	9.929492	1.317579	0.63809371	0.001433521	0.003148562
1700055K11Rik	0.2534799	0.001963748	0.94702489	0.9940531	NA
1700055L01Rik	0.5008162	0.004995326	0.7996318	0.9855312	NA
1700056E22Rik	65.74425	1.68924	0.21517767	3.432242e-16	1.598873e-15
1700060C20Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1700061I17Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1700061N14Rik	0.2461215	-0.1068211	0.98450615	0.6875456	NA
1700065D16Rik	0.4913021	-0.1109548	0.84523677	0.6920245	NA
1700065I16Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700065O20Rik	0.1278316	0.05548383	0.9673458	0.8325408	NA
1700066M21Rik	372.0913	-0.4936232	0.09407492	6.666856e-08	2.056535e-07
1700067G17Rik	0.1243433	0.05548383	0.9673458	0.8325408	NA
1700067K01Rik	1.143646	0.600458	1.01516179	0.112698	0.18086
1700067P10Rik	0.2461215	-0.1068211	0.98450615	0.6875456	NA
1700069L16Rik	0.1243433	0.05548383	0.9673458	0.8325408	NA
1700071K01Rik	0.8893737	0.1851121	0.83169057	0.5234941	0.6388875
1700072I22Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1700073E17Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1700082M22Rik	0.8705332	-0.04894464	0.76723397	0.8596628	0.9016764
1700084D21Rik	0.1208589	-0.05161082	0.96646521	0.8439807	NA
1700084E18Rik	27.37328	-0.7488644	0.34012796	0.003263409	0.00686393
1700084J12Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
1700084M14Rik	0.1278316	0.05548383	0.9673458	0.8325408	NA
1700086D15Rik	0.2521938	-0.1122712	0.97390756	0.6755436	NA
1700086L19Rik	0.3730299	0.1660841	0.9981861	0.5452577	NA
1700086O06Rik	80.89905	0.3229989	0.16964239	0.03662567	0.06553198
1700086P04Rik	5.999508	-0.2325179	0.43471191	0.3756943	0.4964214
1700088E04Rik	48.01329	1.121499	0.27695046	1.41097e-06	3.999848e-06
1700093K21Rik	1.760588	0.1311054	0.63765677	0.6362614	0.7367914
1700094M23Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1700095A13Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700095J03Rik	0.6317383	0.2540612	0.86334089	0.3996457	0.5218573
1700095J07Rik	0.1243433	0.05548383	0.9673458	0.8325408	NA
1700095J12Rik	0.6368536	0.2332735	0.88189112	0.4331936	0.5547866
1700096K18Rik	53.84563	0.18281	0.21055232	0.3180966	0.4354189
1700097N02Rik	3.265176	0.5019991	0.69735989	0.1290736	0.2040158
1700101I11Rik	0.508177	0.004619002	0.82975501	0.9865756	0.9941575
1700101O22Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700102H20Rik	1.179316	0.3189964	0.85406219	0.3090801	0.4255313
1700102J08Rik	2.772891	3.565288	1.55405352	0.000225902	0.0005367674
1700102P08Rik	2.680835	0.8960963	1.03248636	0.04104818	0.07270144
1700104B16Rik	1.011869	0.1045961	0.72581554	0.7083415	0.7936839
1700105F02Rik	19.06439	-0.253349	0.31676575	0.2807307	0.3943103
1700105P06Rik	0.7493507	0.1431277	0.78781748	0.6149664	0.7198025
1700108F19Rik	0.8750039	-0.1990654	0.79318986	0.4952987	0.6120749
1700109G15Rik	0.3679184	-0.1608827	0.99696364	0.5565718	NA
1700109H08Rik	1.901298	-0.126196	0.60534852	0.6456312	0.7437424
1700109K24Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700110I01Rik	0.3679184	-0.1608827	0.99696364	0.5565718	NA
1700110K17Rik	0.2486866	0.1101941	0.98607124	0.6785221	NA
1700112D23Rik	0.3706451	-0.003211307	0.90001306	0.9904933	NA
1700112J16Rik	1.02191	0.2543599	0.82836842	0.3986165	0.5207566
1700113A16Rik	21.34938	1.598126	0.4248651	5.283577e-06	1.43457e-05
1700120B22Rik	0.8628708	-0.3948622	0.93171325	0.2326807	0.3375202
1700120C14Rik	5.236117	0.5563483	0.61541087	0.08653599	0.1428082
1700120K04Rik	0.62765	0.08085216	0.78216254	0.7716999	0.845047
1700122E12Rik	2.618758	-0.1497109	0.61488867	0.5889702	0.698415
1700122H20Rik	0.2535225	0.1157793	0.97462152	0.6665309	NA
1700122O11Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1700123M08Rik	9.183113	0.6355878	0.50405705	0.03845701	0.06848227
1700123O20Rik	1012.576	-0.0410005	0.05806441	0.4747384	0.5926264
1700124L16Rik	0.2522074	-0.1122126	0.97386603	0.6757003	NA
1700127F24Rik	2.614372	-1.32876	1.32008019	0.01618307	0.03085095
1810006J02Rik	0.1230607	-0.05161082	0.96646521	0.8439807	NA
1810008I18Rik	202.651	-0.517648	0.11518741	2.700458e-06	7.507898e-06
1810009A15Rik	2605.192	0.03122422	0.03532925	0.3745942	0.4952213
1810010H24Rik	35.88111	-0.7191436	0.27456369	0.001166803	0.002588354
1810010K12Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
1810012K16Rik	1.371688	0.8663941	1.19359436	0.05250742	0.09091481
1810013A23Rik	6.471602	-0.2031912	0.44358737	0.4381973	0.5595981
1810013D15Rik	0.2486866	0.1101941	0.98607124	0.6785221	NA
1810014B01Rik	62.93523	1.409088	0.22123754	6.306401e-12	2.426425e-11
1810019D21Rik	457.2443	0.5390609	0.08446092	6.444575e-11	2.359963e-10
1810019N24Rik	2.144162	0.2923711	0.6970638	0.3302713	0.4491027
1810021B22Rik	3.733359	0.4091863	0.63397599	0.1861219	0.2794875
1810021M19Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
1810024B03Rik	1.159101	0.1786261	0.69751307	0.5316768	0.6459338
1810030O07Rik	1280.236	0.4777177	0.04822893	1.872909e-23	1.129325e-22
1810034E14Rik	15.50438	0.3599667	0.32905622	0.1356322	0.2133054
1810037I17Rik	8177.381	-0.4247346	0.0398298	8.322781e-27	5.609929e-26
1810041H14Rik	1.667765	0.04274578	0.59603158	0.8739439	0.9116074
1810044D09Rik	88.31415	-0.7058448	0.17395752	7.273095e-06	1.958017e-05
1810055G02Rik	586.2261	0.1158029	0.06542744	0.07215088	0.1214169
1810062G17Rik	26.35585	-0.651112	0.3442311	0.01030778	0.02022375
1810062O18Rik	1.75173	0.7008669	1.04371901	0.08092351	0.1344016
1810064F22Rik	0.384768	0.2035741	0.96757128	0.4777699	NA
1810065E05Rik	36.96473	6.510414	1.01847975	4.005898e-12	1.556082e-11
1810073O08Rik	0.2517781	-0.1119603	0.97397121	0.6763237	NA
2010001A14Rik	116.9478	1.863599	0.19098786	2.034655e-23	1.224708e-22
2010003K11Rik	5.800757	5.137138	1.17727874	3.473246e-07	1.024116e-06
2010004M13Rik	128.7027	-0.3226321	0.14569675	0.01755444	0.03325965
2010016I18Rik	124.0594	-0.1303098	0.18472032	0.4316064	0.5531657
2010106C02Rik	1.626547	-0.14761	0.59368828	0.5916233	0.7004172
2010109A12Rik	0.8793086	-0.06313649	0.68467408	0.8187117	0.875337
2010110K18Rik	2.853845	-0.1754202	0.51968154	0.5159616	0.6314863
2010203P06Rik	0.7443478	-0.1163166	0.80666637	0.6795527	0.7713054
2010204K13Rik	371.5129	-0.3090907	0.0926145	0.0005867703	0.001343066
2010315B03Rik	465.623	0.4206484	0.08553243	4.728225e-07	1.383881e-06
2010320M18Rik	240.3037	1.632379	0.11432163	3.076809e-47	3.327596e-46
2010320O07Rik	0.6368421	0.232792	0.88153265	0.4340158	0.5555983
2200002D01Rik	2060.198	0.01728296	0.04388585	0.6916615	0.7811412
2200002J24Rik	35.55987	5.745071	0.75392963	1.185529e-15	5.394849e-15
2210011K15Rik	14.56454	0.8346944	1.1795374	0.05726656	0.0983141
2210016L21Rik	900.4037	0.3718343	0.06310721	2.35627e-09	7.920473e-09
2210039B01Rik	4.924694	0.5506822	0.63778677	0.09311653	0.1526774
2210404E10Rik	0.1208589	-0.05161082	0.96646521	0.8439807	NA
2210406O10Rik	2.933328	0.0642224	0.53913507	0.8088202	0.8691912
2210408F21Rik	0.7603436	0.1500841	0.79025681	0.5989611	0.7067987
2210408I21Rik	74.53594	-0.1128229	0.17896473	0.4849982	0.6020987
2210409D07Rik	0.8895781	0.6687029	1.18262999	0.09446517	0.1546897
2210416O15Rik	5.006183	-0.09290623	0.43202896	0.715718	0.7997355
2210417A02Rik	7.151039	-0.01054703	0.40444147	0.9663485	0.9831447
2210418O10Rik	27.25407	2.003058	1.4580219	0.003938634	0.008196456
2300002M23Rik	1.378326	1.443335	1.53976564	0.01519761	0.02908777
2300009A05Rik	94.91268	0.06188776	0.15959179	0.6738104	0.7663733
2310001H17Rik	45.37126	1.76417	0.27620813	1.253235e-11	4.751063e-11
2310001K24Rik	0.1291332	-0.05161082	0.96646521	0.8439807	NA
2310002F09Rik	4.003821	-0.3670192	0.59092582	0.2186795	0.3206803
2310002L09Rik	0.2690379	-0.1082328	0.9620392	0.6879159	NA
2310003N18Rik	1.52216	-0.9590653	1.24582694	0.04145883	0.07333104
2310005A03Rik	0.1226395	-0.05161082	0.96646521	0.8439807	NA
2310008N11Rik	0.9905864	0.279086	0.80822086	0.3601431	0.4798035
2310009B15Rik	209.82	-0.1040923	0.11036739	0.325464	0.4434454
2310010J17Rik	2.015317	0.08148217	0.56016253	0.7611008	0.8366341
2310011J03Rik	1238.68	-0.01667142	0.04871396	0.7299446	0.8111106
2310015A10Rik	146.9194	0.848992	0.14508215	2.945925e-10	1.03862e-09
2310015A16Rik	7.485074	0.6327307	0.58525552	0.05280248	0.09137206
2310015D24Rik	0.4966307	-0.1472008	0.86182263	0.6042288	NA
2310016G11Rik	4.9154	0.9099747	0.94921323	0.03448062	0.06201646
2310022A10Rik	549.6868	-0.01468681	0.07475649	0.8411945	0.8893976
2310022B05Rik	2739.329	-0.4812664	0.04113609	6.044567e-32	4.691584e-31
2310026I22Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
2310030G06Rik	330.5231	0.3785065	0.08960122	1.433142e-05	3.771176e-05
2310033P09Rik	596.676	-0.1137765	0.07213818	0.1079544	0.1741407
2310034G01Rik	80.11842	1.611116	0.20761219	5.846836e-16	2.694504e-15
2310034O05Rik	0.245279	-0.1065463	0.98441316	0.6882774	NA
2310039H08Rik	513.7307	-0.1110412	0.08649007	0.187331	0.281017
2310039L15Rik	0.3730299	0.1660841	0.9981861	0.5452577	NA
2310040G24Rik	39.84277	0.6389185	0.25065561	0.002094021	0.004504862
2310043L19Rik	4.417622	2.231791	1.30605648	0.001656648	0.003608309
2310043M15Rik	5.260505	1.962362	1.09253903	0.001659119	0.003613309
2310047D07Rik	2.549737	1.060069	1.107524	0.02645323	0.04860745
2310047K21Rik	47.07643	0.3500054	0.21677702	0.06136417	0.1046959
2310057J18Rik	0.2581947	0.002002554	0.94492211	0.993943	NA
2310057M21Rik	248.5692	-0.1181713	0.10269638	0.2326153	0.3374491
2310058D17Rik	50.78108	0.4358383	0.22060339	0.02148955	0.04012237
2310058N22Rik	97.956	-0.8861146	0.19981965	4.897352e-07	1.431758e-06
2310061I04Rik	600.9927	-0.4578419	0.06802352	8.373929e-12	3.201632e-11
2310061N02Rik	0.244258	0.002594351	0.95199167	0.9921199	NA
2310067E19Rik	1.251921	-0.2305187	0.71786416	0.4317729	0.5532761
2310068J16Rik	10.02701	0.555159	0.45648695	0.05424718	0.09362094
2310069B03Rik	3.53505	3.239525	1.47717439	0.0003290512	0.0007706853
2310075K07Rik	39.20446	0.6137505	0.25377906	0.003370963	0.007075012
2310079G19Rik	0.1243433	0.05548383	0.9673458	0.8325408	NA
2400006E01Rik	0.3752285	0.1982581	0.96704576	0.4876589	NA
2410002F23Rik	1378.195	0.4060667	0.0523688	5.122663e-15	2.269582e-14
2410003I16Rik	0.2517029	0.002013238	0.94796711	0.9938998	NA
2410004B18Rik	450.5883	-0.0392666	0.07957189	0.6138592	0.7189549
2410004I01Rik	0.1278316	0.05548383	0.9673458	0.8325408	NA
2410004P03Rik	0.1290614	0.05548383	0.9673458	0.8325408	NA
2410006H16Rik	3616.701	-0.8957377	0.04469005	8.961788e-91	1.913393e-89
2410017I17Rik	1.768668	1.327952	1.38974282	0.01752739	0.03321741
2410018L13Rik	23.52305	-1.273335	0.40886664	5.389716e-05	0.0001347821
2410021H03Rik	0.1208589	-0.05161082	0.96646521	0.8439807	NA
2410022M11Rik	89.32972	0.5429708	0.17647849	0.0006725848	0.001530662
2410080I02Rik	2.582765	-0.4901859	0.75141444	0.1443349	0.2251559
2500002B13Rik	165.4022	0.9990119	0.15126061	1.076203e-12	4.279522e-12
2500004C02Rik	37.05739	1.294098	0.29350559	2.630716e-07	7.813806e-07
2510002D24Rik	465.4215	-0.02131219	0.07459194	0.7707644	0.844389
2510003B16Rik	6.208837	0.4719048	0.58221508	0.1267742	0.2007974
2510009E07Rik	45.66897	-1.044796	0.28186082	7.045478e-06	1.898472e-05
2510022D24Rik	99.21735	-0.4559892	0.15598744	0.001566545	0.003421442
2510039O18Rik	2747.29	-0.03393534	0.04167293	0.4124725	0.5335707
2600006K01Rik	0.6183035	0.06329908	0.85007723	0.8183821	0.8751166
2600014E21Rik	0.6284732	-0.0873571	0.78457522	0.7543095	0.8311172
2610005L07Rik	2480.118	-0.5872384	0.0494784	5.334823e-33	4.241153e-32
2610008E11Rik	387.1659	0.6880597	0.08712291	4.936359e-16	2.282555e-15
2610017A05Rik	0.3678641	-0.190782	0.96467693	0.5021852	NA
2610020C07Rik	17.67858	0.2182602	0.31265894	0.3486877	0.4679147
2610024D14Rik	0.4934197	0.2309821	1.00592552	0.4241619	NA
2610027F03Rik	0.1208589	-0.05161082	0.96646521	0.8439807	NA
2610027K06Rik	3.09751	-0.7686127	0.85205413	0.05061931	0.08800727
2610028E06Rik	0.1208589	-0.05161082	0.96646521	0.8439807	NA
2610028H24Rik	0.1291332	-0.05161082	0.96646521	0.8439807	NA
2610029K11Rik	162.1122	-0.7805624	0.13938262	2.013958e-09	6.793038e-09
2610035D17Rik	586.2467	0.1635035	0.08005494	0.03655168	0.06542795
2610035F20Rik	0.3776349	0.06713857	0.9082572	0.8046713	NA
2610037D02Rik	0.1233549	0.05548383	0.9673458	0.8325408	NA
2610042L04Rik	1.24038	-0.3190878	0.83504136	0.3079942	0.4244893
2610203C22Rik	1.4894	-0.5264153	0.93816548	0.1421984	0.2222261
2610206C17Rik	4.750999	0.4478723	0.56741681	0.1404801	0.2199236
2610306M01Rik	117.4646	0.08773994	0.14413286	0.5146764	0.630287
2610307P16Rik	3.858148	-0.02655361	0.46672844	0.9178683	0.9456242
2610316D01Rik	0.1278316	0.05548383	0.9673458	0.8325408	NA
2610318M16Rik	0.2582664	-0.1092249	0.98533405	0.681164	NA
2610318N02Rik	51.34898	-8.344245	1.02744752	1.763695e-18	8.957748e-18
2610507I01Rik	275.3891	1.714222	0.11602989	2.622421e-50	3.017976e-49
2610524H06Rik	186.805	-0.1844104	0.12682058	0.1246159	0.1977116
2610528J11Rik	868.2356	-0.5228751	0.05638841	7.324508e-21	4.046609e-20
2700003A03Rik	216.3413	6.276123	0.33121628	1.93039e-81	3.639711e-80
2700012I20Rik	2.267333	0.007329708	0.54417361	0.9779117	0.9905297
