gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
1600029O15Rik	0.4372087	-0.01305845	0.53515239	0.8934453	NA
1700001G01Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1700001G11Rik	1.521055	0.04198009	0.38455102	0.6394346	0.7805836
1700001G17Rik	8.336399	0.006402647	0.24904738	0.9451312	0.9703067
1700001J03Rik	4.451929	0.1530994	0.4281535	0.1779712	0.3204759
1700001J11Rik	0.7346356	-0.05473858	0.54408827	0.5850379	NA
1700001K19Rik	0.2759488	-0.03778291	0.65327736	0.7231909	NA
1700001K23Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700001L05Rik	315.7536	-0.07413784	0.09431811	0.334578	0.5091972
1700001O22Rik	355.8377	-0.3480629	0.12282955	0.000289225	0.001201402
1700003D09Rik	0.4107079	0.03594532	0.58094088	0.7241357	NA
1700003E16Rik	6.658104	-0.07767065	0.28906487	0.4317628	0.6070526
1700003E24Rik	0.1353064	-0.01715302	0.63533576	0.8698261	NA
1700003F12Rik	5.660349	-0.06497588	0.2899204	0.5002966	0.6697169
1700003G18Rik	0.1353064	-0.01715302	0.63533576	0.8698261	NA
1700006A11Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
1700006J14Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700007L15Rik	19.58501	-0.01074792	0.2143748	0.9096352	0.9496486
1700008J07Rik	50.45084	0.01778723	0.15886168	0.8507152	0.9177656
1700008O03Rik	0.9666917	-0.04080364	0.44031173	0.6562475	NA
1700009C05Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
1700009N14Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1700010G06Rik	3.59762	0.01651617	0.30341959	0.8532674	0.9187882
1700010I14Rik	2.714575	0.01537025	0.33536532	0.8605112	0.9227263
1700011C11Rik	1.670968	-0.004134179	0.36501452	0.9619508	0.9801313
1700012B09Rik	0.4139232	-0.06085686	0.64644216	0.573757	NA
1700012D01Rik	13.91831	-0.02476301	0.2274088	0.794058	0.8829286
1700012H19Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
1700012I11Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
1700013H16Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700016A09Rik	2.034156	0.03491765	0.37299975	0.6936637	0.8183071
1700016G22Rik	2.159356	-0.02900081	0.35009278	0.7421433	0.8491094
1700016H13Rik	0.6734628	-0.05456385	0.52830579	0.5816013	NA
1700016J18Rik	0.377512	-0.03903307	0.59742253	0.705312	NA
1700017B05Rik	1929.712	0.1859692	0.04818338	5.280896e-05	0.0002517953
1700017M07Rik	0.9950832	0.006318429	0.42038316	0.9431866	NA
1700017N19Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1700018A04Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1700018A23Rik	0.132414	0.0292821	0.64447795	0.7817193	NA
1700018B08Rik	0.449369	0.09761284	0.66881235	0.3917945	NA
1700018L02Rik	6.297188	-0.03237124	0.27246107	0.7275936	0.839623
1700019A02Rik	0.1592916	0.0292821	0.64447795	0.7817193	NA
1700019D03Rik	33.4059	-0.3206539	0.31872686	0.02917204	0.07343616
1700019E08Rik	0.2706129	-0.03723025	0.65275048	0.7269156	NA
1700019M22Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700020G03Rik	1.037941	0.1030328	0.52946626	0.3285521	NA
1700020L13Rik	0.2753197	-0.03894739	0.64037089	0.713364	NA
1700020L24Rik	14.82111	-0.05798642	0.22666519	0.5535296	0.7169492
1700020N18Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1700022A21Rik	0.456486	0.04445328	0.57762433	0.66325	NA
1700022H01Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
1700022N22Rik	8.16512	0.1988181	0.38618962	0.1132716	0.2248417
1700023A20Rik	0.2706129	-0.03723025	0.65275048	0.7269156	NA
1700023D09Rik	4.530957	0.06820434	0.31291543	0.4760459	0.6487284
1700024G13Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1700024J04Rik	0.2966708	0.009713622	0.60689335	0.924694	NA
1700025D23Rik	0.1592916	0.0292821	0.64447795	0.7817193	NA
1700025G04Rik	2193.337	0.08594579	0.04972424	0.05828124	0.1307664
1700025H01Rik	0.132414	0.0292821	0.64447795	0.7817193	NA
1700025N21Rik	0.2998464	0.00970601	0.60539466	0.9246808	NA
1700026J14Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700027H10Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
1700028E10Rik	2.325838	0.003673105	0.34433114	0.966249	0.9821025
1700028I16Rik	1.005773	0.007026472	0.45803762	0.9386012	NA
1700028J19Rik	7.758358	-0.01255501	0.25620859	0.8922999	0.9399795
1700028K03Rik	0.412033	-0.06056463	0.64655588	0.5755244	NA
1700029H14Rik	0.4267058	0.0325751	0.57213392	0.7470975	NA
1700029J03Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700029M20Rik	0.5945733	0.02038601	0.52447155	0.8332012	NA
1700030C10Rik	155.055	-0.2498326	0.14548484	0.01494358	0.0413596
1700030C12Rik	0.5407055	0.01342251	0.53208356	0.8902237	NA
1700030J22Rik	26.78404	0.1982097	0.26335819	0.1018594	0.2062181
1700030K09Rik	200.5182	-0.1415134	0.12055985	0.1161574	0.2294041
1700030L22Rik	0.5647741	0.05959427	0.57152598	0.5619572	NA
1700034B16Rik	0.3097805	0.05851198	0.67797904	0.5939596	NA
1700034H15Rik	9.04464	-0.1649644	0.34180547	0.1593492	0.2937434
1700034P13Rik	5.044407	0.04932454	0.28687858	0.5999108	0.7519207
1700036G14Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700037C18Rik	63.98609	0.1061075	0.16536664	0.2870116	0.4571238
1700039I01Rik	0.4490253	-0.01310313	0.55696286	0.894935	NA
1700041B01Rik	0.132414	0.0292821	0.64447795	0.7817193	NA
1700041G16Rik	8.074286	0.1672373	0.34819943	0.1554942	0.2884537
1700041M19Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1700042G15Rik	0.4008522	0.03556717	0.58366447	0.72739	NA
1700042O10Rik	0.2648279	0.05201732	0.66959292	0.6322105	NA
1700044C05Rik	0.1353064	-0.01715302	0.63533576	0.8698261	NA
1700047A11Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
1700047F07Rik	0.3185831	0.05995777	0.67836539	0.5854618	NA
1700047G03Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1700047M11Rik	0.132414	0.0292821	0.64447795	0.7817193	NA
1700048O20Rik	0.9003219	0.1544577	0.65908231	0.2092781	NA
1700049E17Rik1	0.412033	-0.06056463	0.64655588	0.5755244	NA
1700049E17Rik2	0.1592916	0.0292821	0.64447795	0.7817193	NA
1700049J03Rik	0.2966497	0.009690443	0.60689574	0.924873	NA
1700049L16Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700051A21Rik	0.6020415	0.02125901	0.50237865	0.8229967	NA
1700051K13Rik	0.2899114	-0.03869044	0.65414539	0.717102	NA
1700052K11Rik	35.33492	0.2942161	0.27876705	0.03231371	0.08022511
1700055D16Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
1700055D18Rik	4.54847	0.01506702	0.2839165	0.8680949	0.9270873
1700055K11Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
1700055L01Rik	0.5605404	0.01816281	0.48920771	0.846598	NA
1700056E22Rik	31.26761	0.04915243	0.18157044	0.6113945	0.7603613
1700061F12Rik	0.1592916	0.0292821	0.64447795	0.7817193	NA
1700061N14Rik	0.2759488	-0.03778291	0.65327736	0.7231909	NA
1700063H06Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
1700065D16Rik	0.4149145	-0.06589499	0.62361623	0.5385804	NA
1700066M21Rik	417.0981	-0.08807275	0.08522011	0.2180837	0.3747382
1700067G17Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
1700067K01Rik	0.7619719	0.09318976	0.57170187	0.3820073	NA
1700067P10Rik	0.2759488	-0.03778291	0.65327736	0.7231909	NA
1700069L16Rik	0.1592916	0.0292821	0.64447795	0.7817193	NA
1700071K01Rik	0.2732838	-0.03863584	0.6410324	0.7156032	NA
1700072F12Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
1700082M22Rik	1.100471	0.01807036	0.43290926	0.8404302	NA
1700084D21Rik	0.1353064	-0.01715302	0.63533576	0.8698261	NA
1700084E18Rik	29.60313	-0.2541665	0.28533492	0.0547964	0.124168
1700084M14Rik	0.132414	0.0292821	0.64447795	0.7817193	NA
1700086D15Rik	0.437822	-0.01319502	0.53506772	0.8923329	NA
1700086O06Rik	61.30224	-0.2461396	0.20999864	0.03960317	0.09513747
1700086P04Rik	6.023474	-0.07414646	0.29744543	0.4478506	0.6231997
1700088E04Rik	26.18105	-0.07209339	0.2044535	0.4680228	0.6416648
1700093K21Rik	0.9920387	-0.1798794	0.76283935	0.1815913	NA
1700095A13Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700095J03Rik	0.2697326	0.009559517	0.62040148	0.9264925	NA
1700095J12Rik	0.5597766	0.07065573	0.56582198	0.494339	NA
1700096K18Rik	47.86161	-0.01255259	0.1625883	0.8944717	0.9412814
1700097N02Rik	3.232049	0.1828482	0.48938308	0.1345441	0.257583
1700101I11Rik	0.2802734	-0.0389922	0.63793674	0.7126836	NA
1700101O22Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700102H20Rik	0.8348819	0.06500254	0.49875508	0.5067754	NA
1700102P08Rik	2.956349	0.4128676	0.89601313	0.03693805	0.08970379
1700104B16Rik	0.8759339	0.0187962	0.44108533	0.8351276	NA
1700105F02Rik	17.27928	-0.1251387	0.25856745	0.2481102	0.411721
1700105P06Rik	0.7522066	0.05030561	0.48874361	0.5991494	NA
1700108F19Rik	1.142091	-0.01113725	0.39824859	0.8988935	NA
1700109G15Rik	0.412033	-0.06056463	0.64655588	0.5755244	NA
1700109H08Rik	2.599412	0.03339145	0.34373828	0.7067597	0.8268119
1700109K24Rik	0.1379744	-0.01715302	0.63533576	0.8698261	NA
1700110I01Rik	0.412033	-0.06056463	0.64655588	0.5755244	NA
1700112D23Rik	0.2759488	-0.03778291	0.65327736	0.7231909	NA
1700112J16Rik	1.061572	0.06676996	0.5146239	0.5009517	NA
1700113A16Rik	9.181076	-0.01039856	0.24038167	0.9115743	0.9508603
1700120B22Rik	0.9768861	-0.0986244	0.55027912	0.3520877	NA
1700120C14Rik	3.71133	0.05611589	0.34685572	0.5417916	0.7063822
1700120K04Rik	0.4282198	-0.01257241	0.53716645	0.8975491	NA
1700121C08Rik	0.132414	0.0292821	0.64447795	0.7817193	NA
1700121N20Rik	0.132414	0.0292821	0.64447795	0.7817193	NA
1700122E12Rik	2.844252	-0.02943202	0.32778167	0.7406275	0.8481431
1700122O11Rik	0.2928833	0.009666169	0.60868897	0.9251452	NA
1700123K08Rik	0.2648279	0.05201732	0.66959292	0.6322105	NA
1700123M08Rik	5.102284	-0.03362645	0.28486258	0.7151913	0.8320307
1700123O20Rik	1029.182	0.09242562	0.06822769	0.1228317	0.2395701
1700124L16Rik	0.2829478	-0.03953357	0.63729218	0.708868	NA
1700127F24Rik	2.9138	-0.3549915	0.85282362	0.05001418	0.1151728
1810006J02Rik	0.2973035	0.009723591	0.60659693	0.9246028	NA
1810008I18Rik	238.2101	0.02657196	0.10607948	0.747508	0.8525805
1810009A15Rik	2644.546	0.1664616	0.04167791	3.570941e-05	0.0001749632
1810010H24Rik	40.6389	-0.04701459	0.17764546	0.6260415	0.7706666
1810012K16Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
1810013A23Rik	7.14817	-0.01446144	0.2623781	0.8755911	0.9307756
1810013D15Rik	0.292456	0.05926362	0.65697134	0.5855196	NA
1810014B01Rik	32.7255	-0.003076142	0.17794813	0.9741561	0.9853936
1810018F18Rik	0.1592916	0.0292821	0.64447795	0.7817193	NA
1810019D21Rik	320.3332	-0.3517591	0.12465585	0.0002882691	0.001197997
1810019N24Rik	1.022326	-0.03238794	0.45431263	0.7245483	NA
1810021B22Rik	2.686249	0.04869085	0.35380604	0.5909286	0.7450728
1810021M19Rik	0.6064246	0.07788656	0.57058899	0.4562417	NA
1810024B03Rik	0.7107053	-0.01762826	0.48053955	0.8499482	NA
1810030O07Rik	1019.81	-0.06653552	0.05955414	0.2077158	0.361017
1810034E14Rik	10.95324	-0.06064856	0.24818595	0.5348274	0.7007822
1810037I17Rik	9524.878	0.119886	0.03070589	6.952025e-05	0.0003252112
1810041H14Rik	1.897828	0.05080113	0.3659325	0.5756427	0.7338062
1810044D09Rik	94.87843	-0.2958267	0.19160496	0.01326253	0.03727636
1810055G02Rik	529.939	-0.1373101	0.07817223	0.04287475	0.1016489
1810062G17Rik	29.08849	-0.16441	0.24612703	0.1505464	0.2811968
1810062O18Rik	0.89596	0.06519718	0.53197611	0.5156613	NA
1810065E05Rik	0.2706129	-0.03723025	0.65275048	0.7269156	NA
1810073O08Rik	0.7514267	0.04873875	0.48676615	0.6095304	NA
2010001A14Rik	52.68935	0.09640739	0.17906663	0.3369415	0.5117629
2010003K11Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
2010004M13Rik	126.8805	-0.2333254	0.1572904	0.02732948	0.06951021
2010016I18Rik	115.6949	-0.2112544	0.1590685	0.04437205	0.1045501
2010106C02Rik	1.424247	-0.08323657	0.46309733	0.3982282	0.5749968
2010109A12Rik	1.002425	0.006226867	0.39091678	0.9431068	NA
2010110K18Rik	3.492062	0.01272017	0.30041242	0.8867533	0.9361415
2010203P06Rik	0.7035493	-0.05322913	0.52236015	0.5887425	NA
2010204K13Rik	353.4751	-0.4323111	0.11450921	3.922091e-06	2.231491e-05
2010315B03Rik	415.2384	0.1698896	0.08914274	0.02406978	0.06240248
2010320M18Rik	114.6397	0.01293282	0.12590449	0.8850771	0.9353083
2010320O07Rik	0.2703654	0.009527163	0.62005357	0.9267253	NA
2200002D01Rik	1820.724	-0.2884955	0.06363158	8.364959e-07	5.21882e-06
2200002J24Rik	0.7137791	-0.05491314	0.52366555	0.577943	NA
2210011K15Rik	2.684411	0.1534494	0.56671367	0.1921899	0.3398126
2210016L21Rik	846.7605	0.2840762	0.07092314	9.323704e-06	4.998905e-05
2210039B01Rik	1.945295	-0.08985374	0.45294242	0.3656511	0.5429935
2210404E10Rik	0.1353064	-0.01715302	0.63533576	0.8698261	NA
2210406O10Rik	1.592981	-0.07628241	0.44779464	0.4300808	0.6055172
2210408F21Rik	1.299482	0.1515511	0.60105476	0.2028841	NA
2210408I21Rik	64.05012	-0.152008	0.18159118	0.1504181	0.2810544
2210416O15Rik	5.311844	-0.002966217	0.2722802	0.9740791	0.9853936
2210417A02Rik	6.267832	-0.05299993	0.27589601	0.5780496	0.7357687
2210418O10Rik	7.445707	0.08661477	0.56950714	0.4118425	0.5876061
2300003K06Rik	0.1592916	0.0292821	0.64447795	0.7817193	NA
2300009A05Rik	75.18389	-0.4674859	0.25380927	0.002231967	0.00768099
2310001H17Rik	41.75241	1.763729	0.34283381	2.113994e-09	1.800942e-08
2310001K24Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
2310002F09Rik	4.449331	-0.06775793	0.32276663	0.4762029	0.6487803
2310002L09Rik	0.3014233	-0.03750728	0.62474162	0.7208739	NA
2310003N18Rik	1.845184	-0.1382948	0.53414744	0.2200842	0.3772167
2310005A03Rik	0.4032927	0.03580548	0.58313684	0.7255681	NA
2310008N11Rik	0.9801537	0.08713261	0.53456382	0.3985404	NA
2310009B15Rik	191.9175	-0.2512459	0.13160556	0.009978983	0.02916691
2310010J17Rik	2.150094	0.04531963	0.35751138	0.6146667	0.7629183
2310011J03Rik	1296.328	0.1800779	0.05342611	0.0003549627	0.001451144
2310015A10Rik	83.68382	-0.4982039	0.24819062	0.00127371	0.004617461
2310015A16Rik	2.331371	-0.1444017	0.48765619	0.1991784	0.3490439
2310015D24Rik	0.4133536	-0.06565174	0.62364578	0.5399993	NA
2310016G11Rik	1.122579	-0.1021756	0.59270242	0.3501924	NA
2310022A10Rik	590.0477	0.207657	0.07619571	0.002162997	0.007475844
2310022B05Rik	2992.2	-0.1463016	0.04926619	0.001743697	0.006131549
2310026I22Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
2310030G06Rik	285.7473	0.04990494	0.09337415	0.5126188	0.6805616
2310033P09Rik	617.7991	0.0425418	0.07087858	0.4895498	0.660614
2310034G01Rik	34.99317	-0.07818421	0.19290155	0.4324011	0.6077857
2310034O05Rik	0.2746887	-0.0376469	0.65314955	0.7241067	NA
2310039H08Rik	469.558	-0.3255227	0.09708367	6.616487e-05	0.0003104238
2310040G24Rik	27.20698	-0.04861492	0.1945682	0.6161376	0.7640315
2310043L19Rik	0.7313281	0.00104049	0.45508787	0.9908727	NA
2310043M15Rik	0.8416778	-0.07329489	0.53904812	0.4711179	NA
2310043O21Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
2310047D07Rik	1.255601	0.0420039	0.40681937	0.6414345	NA
2310047K21Rik	35.72231	-0.09475077	0.19557208	0.3503127	0.5262176
2310057J18Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
2310057M21Rik	260.1214	0.04740805	0.09988533	0.5518485	0.7154044
2310058D17Rik	39.01586	-0.03207705	0.18008604	0.7375808	0.846645
2310058N22Rik	111.4441	-0.2765358	0.19745383	0.02064159	0.05463493
2310061I04Rik	640.4213	-0.1544291	0.07400368	0.01824659	0.0491319
2310061N02Rik	0.1353064	-0.01715302	0.63533576	0.8698261	NA
2310065F04Rik	0.1548903	0.0292821	0.64447795	0.7817193	NA
2310067E19Rik	1.915344	0.0200918	0.36113878	0.8179678	0.8977303
2310068J16Rik	6.386557	-0.007631051	0.2595734	0.9341375	0.9640081
2310069B03Rik	0.1373443	-0.01715302	0.63533576	0.8698261	NA
2310075K07Rik	25.50965	-0.1039267	0.21704579	0.3160997	0.4888212
2410002F23Rik	1079.742	-0.2735563	0.06864701	1.172183e-05	6.184664e-05
2410003I16Rik	0.4025388	0.0354694	0.58301596	0.7279739	NA
2410004B18Rik	473.84	0.1423182	0.08340485	0.04583778	0.1074562
2410004P03Rik	0.132414	0.0292821	0.64447795	0.7817193	NA
2410006H16Rik	5075.827	0.3158615	0.05001006	2.670709e-11	2.749719e-10
2410017I17Rik	0.2928711	0.009648881	0.60868919	0.9252785	NA
2410018L13Rik	35.13137	0.03286428	0.18208743	0.7315801	0.8422876
2410021H03Rik	0.1353064	-0.01715302	0.63533576	0.8698261	NA
2410022M11Rik	61.7051	-0.172688	0.19678461	0.1163577	0.229674
2410080I02Rik	5.006752	0.08902119	0.3214453	0.3715892	0.5488843
2500002B13Rik	117.0857	-0.1405979	0.14424226	0.1495759	0.2796889
2500004C02Rik	21.753	0.07158752	0.20836476	0.4712774	0.6443675
2510002D24Rik	460.7151	0.03943973	0.08070762	0.5645839	0.7253335
2510003B16Rik	3.892447	0.01634706	0.29972815	0.8551697	0.9199736
2510009E07Rik	60.47575	-0.03723717	0.15374879	0.6938628	0.8183482
2510022D24Rik	122.2201	0.1213811	0.13249233	0.1946153	0.3429623
2510039O18Rik	2766.745	0.04137645	0.04530269	0.3082987	0.4806058
2600006K01Rik	0.4294446	-0.01211715	0.56172723	0.9031405	NA
2600014E21Rik	1.268668	0.07338242	0.45044178	0.4461068	NA
2610005L07Rik	2654.089	-0.3343332	0.04710642	9.50481e-14	1.183891e-12
2610008E11Rik	256.1872	-0.3218549	0.13588407	0.001506504	0.005376003
2610017A05Rik	0.9988822	0.04441319	0.44523205	0.6303744	NA
2610020C07Rik	13.57762	-0.06963844	0.24086006	0.4824922	0.6541289
2610024D14Rik	0.3185831	0.05995777	0.67836539	0.5854618	NA
2610027F03Rik	0.2912634	0.01063085	0.60980315	0.9177701	NA
2610027K06Rik	2.921444	-0.7780648	1.4063217	0.01483227	0.04109683
2610028E06Rik	0.1353064	-0.01715302	0.63533576	0.8698261	NA
2610028H24Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
2610029K11Rik	189.9011	-0.1428964	0.12651138	0.1215819	0.2374753
2610035D17Rik	542.7296	0.01145006	0.07610633	0.8610943	0.9229573
2610035F20Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
2610042L04Rik	1.111353	-0.2547649	0.87021217	0.1064367	NA
2610203C22Rik	2.657577	0.02520699	0.32316724	0.7763365	0.8726648
2610206C17Rik	2.136676	-0.1055548	0.44198916	0.3018751	0.473321
2610300M13Rik	0.741893	0.1836821	0.78792067	0.1799293	NA
2610306M01Rik	109.9196	-0.01506997	0.13150795	0.8682554	0.9270873
2610307P16Rik	3.314695	-0.05855135	0.33262902	0.5286073	0.6949532
2610318M16Rik	0.5753747	0.01685309	0.5048518	0.8593556	NA
2610318N02Rik	106.9496	0.1052358	0.13685999	0.2641264	0.430814
2610507I01Rik	116.994	-0.1247936	0.14486389	0.1982673	0.347794
2610524H06Rik	244.4769	0.6155649	0.13040394	4.205955e-08	3.088995e-07
2610528J11Rik	997.7438	-0.01542611	0.05630385	0.7592783	0.8614238
2700003A03Rik	5.363711	-0.0005938704	0.27819429	0.9947813	0.99731
2700012I20Rik	1.571431	-0.09827765	0.48385677	0.336286	0.5110884
2700038G22Rik	47.8564	-0.0711379	0.17805488	0.4688105	0.6422938
2700046A07Rik	2.389364	-0.0581419	0.3572938	0.5277783	0.6944972
2700049A03Rik	525.4032	0.02459327	0.0768994	0.7091868	0.8283351
2700054A10Rik	65.63917	-0.6961882	0.28115956	0.0002291201	0.0009726535
2700062C07Rik	254.8108	0.2496185	0.11333248	0.00527495	0.01657845
2700068H02Rik	1.110941	-0.05266114	0.4404789	0.5709028	NA
2700089I24Rik	0.1353064	-0.01715302	0.63533576	0.8698261	NA
2700097O09Rik	1598.597	0.04410153	0.06052777	0.4101335	0.5858812
2700099C18Rik	314.5825	0.03494911	0.09035719	0.6389221	0.780229
2810001A02Rik	1235.384	-0.009906237	0.06763241	0.8673661	0.9268324
2810001G20Rik	55.36696	0.09814578	0.16945974	0.3243304	0.4980869
2810002D19Rik	172.1927	0.1491768	0.13501703	0.1175246	0.2313335
2810004N23Rik	1553.224	-0.06141448	0.05661286	0.2227563	0.3807939
2810013P06Rik	72.72217	0.02628553	0.14639979	0.7786643	0.8743857
2810021J22Rik	210.153	0.06512661	0.11527169	0.4519497	0.6269153
2810025M15Rik	713.9185	-0.3819723	0.07942083	5.675038e-08	4.089332e-07
2810029C07Rik	12.29576	-0.04952215	0.23858124	0.6083091	0.7579605
2810030D12Rik	9.746029	-0.1612644	0.32507309	0.1659258	0.3032914
2810032G03Rik	0.1449557	-0.01715302	0.63533576	0.8698261	NA
2810039B14Rik	0.8399363	-0.02109659	0.43526732	0.8147257	NA
2810047C21Rik1	81.55482	1.135231	0.21780583	6.821806e-09	5.484595e-08
2810403D21Rik	4.063166	-0.0270546	0.29931291	0.7647617	0.8646309
2810405F17Rik	9.259293	-0.007107733	0.24303803	0.9393453	0.9665975
2810407A14Rik	0.9270324	0.05324594	0.4672738	0.5732892	NA
2810408A11Rik	177.097	-0.09260892	0.11798199	0.2927758	0.4636453
2810408B13Rik	36.52789	0.02076504	0.17085047	0.8271749	0.9039109
2810408I11Rik	121.8475	0.4888548	0.18888316	0.000232812	0.0009849955
2810414N06Rik	16.16395	0.03530544	0.22576446	0.712038	0.8303746
